110000北京市
210112辽宁省 沈阳市 东陵区
210113辽宁省 沈阳市 沈北新区
210114辽宁省 沈阳市 于洪区
210122辽宁省 沈阳市 辽中县
210123辽宁省 沈阳市 康平县
210124辽宁省 沈阳市 法库县
210181辽宁省 沈阳市 新民市
210200辽宁省 大连市
210201辽宁省 大连市 市辖区
210202辽宁省 大连市 中山区
210203辽宁省 大连市 西岗区
210204辽宁省 大连市 沙河口区
210211辽宁省 大连市 甘井子区
210212辽宁省 大连市 旅顺口区
210213辽宁省 大连市 金州区
210224辽宁省 大连市 长海县
210281辽宁省 大连市 瓦房店市
210282辽宁省 大连市 普兰店市
210283辽宁省 大连市 庄河市
210300辽宁省 鞍山市
210301辽宁省 鞍山市 市辖区
210302辽宁省 鞍山市 铁东区
210303辽宁省 鞍山市 铁西区
210304辽宁省 鞍山市 立山区
210311辽宁省 鞍山市 千山区
210321辽宁省 鞍山市 台安县
210323辽宁省 鞍山市 岫岩满族自治县
210381辽宁省 鞍山市 海城市
210400辽宁省 抚顺市
210401辽宁省 抚顺市 市辖区
210402辽宁省 抚顺市 新抚区
210403辽宁省 抚顺市 东洲区
210404辽宁省 抚顺市 望花区
210411辽宁省 抚顺市 顺城区
210421辽宁省 抚顺市 抚顺县
210422辽宁省 抚顺市 新宾满族自治县
210423辽宁省 抚顺市 清原满族自治县
210500辽宁省 本溪市
210501辽宁省 本溪市 市辖区
210502辽宁省 本溪市 平山区
210503辽宁省 本溪市 溪湖区
210504辽宁省 本溪市 明山区
210505辽宁省 本溪市 南芬区
210521辽宁省 本溪市 本溪满族自治县
210522辽宁省 本溪市 桓仁满族自治县
210600辽宁省 丹东市
210601辽宁省 丹东市 市辖区
210602辽宁省 丹东市 元宝区
210603辽宁省 丹东市 振兴区
210604辽宁省 丹东市 振安区
210624辽宁省 丹东市 宽甸满族自治县
210681辽宁省 丹东市 东港市
210682辽宁省 丹东市 凤城市
210700辽宁省 锦州市
210701辽宁省 锦州市 市辖区
210702辽宁省 锦州市 古塔区
210703辽宁省 锦州市 凌河区
210711辽宁省 锦州市 太和区
210726辽宁省 锦州市 黑山县
210727辽宁省 锦州市 义县
210781辽宁省 锦州市 凌海市
210782辽宁省 锦州市 北镇市
210800辽宁省 营口市
210801辽宁省 营口市 市辖区
210802辽宁省 营口市 站前区
210803辽宁省 营口市 西市区
210804辽宁省 营口市 鲅鱼圈区
210811辽宁省 营口市 老边区
210881辽宁省 营口市 盖州市
210882辽宁省 营口市 大石桥市
210900辽宁省 阜新市
210901辽宁省 阜新市 市辖区
210902辽宁省 阜新市 海州区
210903辽宁省 阜新市 新邱区
210904辽宁省 阜新市 太平区
210905辽宁省 阜新市 清河门区
210911辽宁省 阜新市 细河区
210921辽宁省 阜新市 阜新蒙古族自治县
210922辽宁省 阜新市 彰武县
211000辽宁省 辽阳市
211001辽宁省 辽阳市 市辖区
211002辽宁省 辽阳市 白塔区
211003辽宁省 辽阳市 文圣区
211004辽宁省 辽阳市 宏伟区
211005辽宁省 辽阳市 弓长岭区
211011辽宁省 辽阳市 太子河区
211021辽宁省 辽阳市 辽阳县
211081辽宁省 辽阳市 灯塔市
211100辽宁省 盘锦市
211101辽宁省 盘锦市 市辖区
211102辽宁省 盘锦市 双台子区
211103辽宁省 盘锦市 兴隆台区
211121辽宁省 盘锦市 大洼县
211122辽宁省 盘锦市 盘山县
211200辽宁省 铁岭市
211201辽宁省 铁岭市 市辖区
211202辽宁省 铁岭市 银州区
211204辽宁省 铁岭市 清河区
211221辽宁省 铁岭市 铁岭县
211223辽宁省 铁岭市 西丰县
211224辽宁省 铁岭市 昌图县
211281辽宁省 铁岭市 调兵山市
211282辽宁省 铁岭市 开原市
211300辽宁省 朝阳市
211301辽宁省 朝阳市 市辖区
211302辽宁省 朝阳市 双塔区
211303辽宁省 朝阳市 龙城区
211321辽宁省 朝阳市 朝阳县
211322辽宁省 朝阳市 建平县
211324辽宁省 朝阳市 喀喇沁左翼蒙古族自治县
211381辽宁省 朝阳市 北票市
211382辽宁省 朝阳市 凌源市
211400辽宁省 葫芦岛市
211401辽宁省 葫芦岛市 市辖区
211402辽宁省 葫芦岛市 连山区
211403辽宁省 葫芦岛市 龙港区
211404辽宁省 葫芦岛市 南票区
211421辽宁省 葫芦岛市 绥中县
211422辽宁省 葫芦岛市 建昌县
211481辽宁省 葫芦岛市 兴城市
220000吉林省
220100吉林省 长春市
220101吉林省 长春市 市辖区
220102吉林省 长春市 南关区
220103吉林省 长春市 宽城区
220104吉林省 长春市 朝阳区
220105吉林省 长春市 二道区
220106吉林省 长春市 绿园区
220112吉林省 长春市 双阳区
220122吉林省 长春市 农安县
220181吉林省 长春市 九台市
220182吉林省 长春市 榆树市
220183吉林省 长春市 德惠市
220200吉林省 吉林市
220201吉林省 吉林市 市辖区
220202吉林省 吉林市 昌邑区
220203吉林省 吉林市 龙潭区
220204吉林省 吉林市 船营区
220211吉林省 吉林市 丰满区
220221吉林省 吉林市 永吉县
220281吉林省 吉林市 蛟河市
220282吉林省 吉林市 桦甸市
220283吉林省 吉林市 舒兰市
220284吉林省 吉林市 磐石市
220300吉林省 四平市
220301吉林省 四平市 市辖区
220302吉林省 四平市 铁西区
220303吉林省 四平市 铁东区
220322吉林省 四平市 梨树县
220323吉林省 四平市 伊通满族自治县
220381吉林省 四平市 公主岭市
220382吉林省 四平市 双辽市
220400吉林省 辽源市
220401吉林省 辽源市 市辖区
220402吉林省 辽源市 龙山区
220403吉林省 辽源市 西安区
220421吉林省 辽源市 东丰县
220422吉林省 辽源市 东辽县
220500吉林省 通化市
220501吉林省 通化市 市辖区
220502吉林省 通化市 东昌区
220503吉林省 通化市 二道江区
220521吉林省 通化市 通化县
220523吉林省 通化市 辉南县
220524吉林省 通化市 柳河县
220581吉林省 通化市 梅河口市
220582吉林省 通化市 集安市
220600吉林省 白山市
220601吉林省 白山市 市辖区
220602吉林省 白山市 八道江区
220605吉林省 白山市 江源区
220621吉林省 白山市 抚松县
220622吉林省 白山市 靖宇县
220623吉林省 白山市 长白朝鲜族自治县
220681吉林省 白山市 临江市
220700吉林省 松原市
220701吉林省 松原市 市辖区
220702吉林省 松原市 宁江区
220721吉林省 松原市 前郭尔罗斯蒙古族自治县
220722吉林省 松原市 长岭县
220723吉林省 松原市 乾安县
220724吉林省 松原市 扶余县
220800吉林省 白城市
220801吉林省 白城市 市辖区
220802吉林省 白城市 洮北区
220821吉林省 白城市 镇赉县
220822吉林省 白城市 通榆县
220881吉林省 白城市 洮南市
220882吉林省 白城市 大安市
222400吉林省 延边朝鲜族自治州
222401吉林省 延边朝鲜族自治州 延吉市
222402吉林省 延边朝鲜族自治州 图们市
222403吉林省 延边朝鲜族自治州 敦化市
222404吉林省 延边朝鲜族自治州 珲春市
222405吉林省 延边朝鲜族自治州 龙井市
222406吉林省 延边朝鲜族自治州 和龙市
222424吉林省 延边朝鲜族自治州 汪清县
222426吉林省 延边朝鲜族自治州 安图县
230000黑龙江省
230100黑龙江省 哈尔滨市
230101黑龙江省 哈尔滨市 市辖区
230102黑龙江省 哈尔滨市 道里区
230103黑龙江省 哈尔滨市 南岗区
230104黑龙江省 哈尔滨市 道外区
230108黑龙江省 哈尔滨市 平房区
230109黑龙江省 哈尔滨市 松北区
230110黑龙江省 哈尔滨市 香坊区
230111黑龙江省 哈尔滨市 呼兰区
230112黑龙江省 哈尔滨市 阿城区
230123黑龙江省 哈尔滨市 依兰县
230124黑龙江省 哈尔滨市 方正县
230125黑龙江省 哈尔滨市 宾县
230126黑龙江省 哈尔滨市 巴彦县
